City,Date,AQI,PM10,PM2_5,NO2,NO,SO2,CO,O3
Ahmedabad,2015-06-29,220.0,122.41,111.8,11.51,10.05,5.27,9.23,5.99
Ahmedabad,2015-06-30,244.0,122.41,30.0,13.59,10.05,8.09,8.87,6.31
Ahmedabad,2015-07-01,223.0,122.41,4.66,10.9,10.05,7.31,9.01,6.38
Ahmedabad,2015-07-02,230.0,122.41,48.72,11.94,10.05,5.72,9.56,6.61
Ahmedabad,2015-07-03,243.0,122.41,49.7,9.81,10.05,6.78,9.43,6.42
Ahmedabad,2015-07-04,215.0,122.41,48.1,9.53,10.05,9.33,8.03,7.6
Ahmedabad,2015-07-05,199.0,122.41,47.43,9.45,10.05,7.93,8.11,7.08
Ahmedabad,2015-07-06,200.0,122.41,51.74,12.38,10.05,10.05,8.91,5.78
Ahmedabad,2015-07-07,226.0,122.41,42.68,11.08,10.05,10.87,9.74,4.44
Ahmedabad,2015-07-08,241.0,122.41,38.45,7.8,10.05,10.28,10.55,3.24
Ahmedabad,2015-07-09,222.0,122.41,46.69,0.17,10.05,10.25,11.48,5.76
Ahmedabad,2015-07-10,223.0,122.41,55.27,0.12,10.05,12.7,11.55,6.55
Ahmedabad,2015-07-11,248.0,122.41,149.03,0.16,10.05,10.07,11.49,7.27
Ahmedabad,2015-07-12,300.0,122.41,86.57,0.17,10.05,11.09,11.47,6.53
Ahmedabad,2015-07-13,232.0,122.41,111.77,0.24,10.05,7.73,11.3,4.67
Ahmedabad,2015-07-14,330.0,122.41,151.4,0.36,10.05,7.8,10.8,5.46
Ahmedabad,2015-07-15,223.0,122.41,51.35,2.69,10.05,10.0,8.0,5.76
Ahmedabad,2015-07-16,105.0,122.41,65.37,8.07,10.05,16.31,0.64,8.02
Ahmedabad,2015-07-17,101.0,122.41,56.28,8.02,10.05,18.93,0.6,6.2
Ahmedabad,2015-07-18,93.0,122.41,48.17,8.0,10.05,18.99,0.65,7.97
Ahmedabad,2015-07-19,67.0,122.41,33.56,7.89,10.05,11.28,0.72,10.18
Ahmedabad,2015-07-20,60.0,122.41,31.3,8.1,10.05,10.29,0.55,7.44
Ahmedabad,2015-07-28,157.0,122.41,19.52,11.26,10.05,11.56,5.89,4.4
Ahmedabad,2015-07-29,158.0,122.41,35.16,10.89,10.05,14.7,5.75,3.67
Ahmedabad,2015-07-30,169.0,122.41,33.03,10.58,10.05,12.95,7.01,3.53
Ahmedabad,2015-07-31,174.0,122.41,40.95,10.47,10.05,19.8,6.92,3.38
Ahmedabad,2015-08-01,173.0,122.41,40.29,10.52,10.05,8.27,6.74,3.57
Ahmedabad,2015-08-02,172.0,122.41,41.16,10.51,10.05,13.48,6.91,3.69
Ahmedabad,2015-08-03,190.0,122.41,36.12,11.56,10.05,13.62,7.21,6.08
Ahmedabad,2015-08-04,171.0,122.41,28.51,20.52,10.05,5.69,6.69,7.65
Ahmedabad,2015-08-05,168.0,122.41,31.59,20.42,10.05,9.23,6.99,7.9
Ahmedabad,2015-08-06,172.0,122.41,42.56,20.4,10.05,6.28,7.17,9.86
Ahmedabad,2015-08-07,173.0,122.41,48.12,20.3,10.05,6.77,7.14,12.78
Ahmedabad,2015-08-08,175.0,122.41,37.09,20.21,10.05,8.66,7.22,7.94
Ahmedabad,2015-08-09,179.0,122.41,33.4,20.09,10.05,9.95,7.4,8.39
Ahmedabad,2015-08-10,174.0,122.41,38.64,20.21,10.05,9.74,7.35,6.28
Ahmedabad,2015-08-11,176.0,122.41,40.49,20.23,10.05,8.92,7.48,21.51
Ahmedabad,2015-08-12,179.0,122.41,41.37,20.2,10.05,11.73,7.47,19.8
Ahmedabad,2015-08-13,175.0,122.41,44.56,20.06,10.05,11.23,7.49,22.77
Ahmedabad,2015-08-14,177.0,122.41,65.68,19.94,10.05,8.21,7.57,30.21
Ahmedabad,2015-08-15,175.0,122.41,33.34,20.27,10.05,6.41,7.3,32.95
Ahmedabad,2015-08-16,174.0,122.41,39.17,20.24,10.05,9.17,7.35,26.64
Ahmedabad,2015-08-17,179.0,122.41,34.0,20.1,10.05,9.64,7.41,17.17
Ahmedabad,2015-08-18,177.0,122.41,36.38,20.14,10.05,10.65,7.31,13.35
Ahmedabad,2015-08-19,180.0,122.41,38.35,20.16,10.05,9.33,7.41,18.59
Ahmedabad,2015-08-20,274.0,122.41,38.5,19.67,10.05,10.37,12.38,16.33
Ahmedabad,2015-08-21,310.0,122.41,39.61,14.84,10.05,10.76,17.31,5.38
Ahmedabad,2015-08-22,303.0,122.41,61.79,14.82,10.05,12.39,17.24,8.06
Ahmedabad,2015-08-23,302.0,122.41,43.22,14.82,10.05,11.68,17.17,37.87
Ahmedabad,2015-08-24,302.0,122.41,33.41,14.86,10.05,12.96,17.12,86.83
Ahmedabad,2015-08-25,302.0,122.41,36.9,14.85,10.05,4.73,17.08,54.01
Ahmedabad,2015-08-26,302.0,122.41,36.36,14.79,10.05,8.86,17.11,77.3
Ahmedabad,2015-08-27,302.0,122.41,32.64,14.84,10.05,7.05,17.01,62.31
Ahmedabad,2015-08-28,302.0,122.41,38.23,14.89,10.05,10.9,17.07,55.94
Ahmedabad,2015-08-29,301.0,122.41,39.86,14.83,10.05,10.02,16.98,96.83
Ahmedabad,2015-08-30,302.0,122.41,72.74,14.84,10.05,4.23,17.04,99.03
Ahmedabad,2015-08-31,302.0,122.41,43.2,14.86,10.05,5.96,17.05,59.99
Ahmedabad,2015-09-01,302.0,122.41,63.2,14.82,10.05,3.69,17.03,7.57
Ahmedabad,2015-09-02,302.0,122.41,64.73,14.82,10.05,6.45,17.01,12.13
Ahmedabad,2015-09-03,301.0,122.41,65.28,14.85,10.05,6.13,17.04,18.2
Ahmedabad,2015-09-04,302.0,122.41,67.86,14.87,10.05,8.87,16.97,16.53
Ahmedabad,2015-09-05,301.0,122.41,52.4,14.81,10.05,9.89,16.97,22.55
Ahmedabad,2015-09-06,302.0,122.41,33.33,14.89,10.05,6.88,16.95,33.58
Ahmedabad,2015-09-07,301.0,122.41,29.52,14.88,10.05,8.56,16.94,40.65
Ahmedabad,2015-09-08,301.0,122.41,15.53,14.85,10.05,15.13,17.0,34.18
Ahmedabad,2015-09-16,170.0,122.41,29.58,9.94,10.05,8.82,6.61,42.9
Ahmedabad,2015-09-17,164.0,122.41,32.15,9.7,10.05,9.2,6.5,39.02
Ahmedabad,2015-09-18,195.0,122.41,36.33,12.88,10.05,8.28,7.68,43.35
Ahmedabad,2015-09-19,220.0,122.41,24.46,10.99,10.05,12.59,8.45,44.55
Ahmedabad,2015-09-28,327.0,122.41,3.04,21.5,10.05,13.73,16.31,30.05
Ahmedabad,2015-09-29,390.0,122.41,19.14,30.6,10.05,10.96,10.33,29.36
Ahmedabad,2015-09-30,231.0,122.41,69.12,32.41,10.05,15.63,8.85,28.45
Ahmedabad,2015-10-01,396.0,122.41,76.41,34.7,10.05,15.44,17.96,31.49
Ahmedabad,2015-10-02,731.0,122.41,102.49,37.85,10.05,27.32,33.31,24.85
Ahmedabad,2015-10-03,466.0,122.41,127.94,28.38,10.05,25.59,11.14,15.17
Ahmedabad,2015-10-04,230.0,122.41,87.18,21.51,10.05,6.98,7.83,23.17
Ahmedabad,2015-10-05,309.0,122.41,99.73,30.23,10.05,32.74,20.16,20.91
Ahmedabad,2015-10-06,519.0,122.41,84.15,32.1,10.05,19.37,15.83,23.12
Ahmedabad,2015-10-07,397.0,122.41,92.12,32.5,10.05,31.75,18.21,29.97
Ahmedabad,2015-10-08,517.0,122.41,94.02,36.97,10.05,24.88,27.14,23.51
Ahmedabad,2015-10-09,653.0,122.41,150.27,34.86,10.05,26.35,15.9,31.96
Ahmedabad,2015-10-10,355.0,122.41,118.91,29.22,10.05,79.47,5.42,24.89
Ahmedabad,2015-10-11,227.0,122.41,91.41,23.45,10.05,25.44,5.19,6.25
Ahmedabad,2015-10-12,316.0,122.41,95.9,33.63,10.05,30.06,10.38,27.34
Ahmedabad,2015-10-13,536.0,122.41,137.87,32.98,10.05,21.89,20.2,17.41
Ahmedabad,2015-10-14,370.0,122.41,90.71,25.73,10.05,17.89,18.12,26.02
Ahmedabad,2015-10-15,551.0,122.41,108.68,32.87,10.05,22.59,17.03,19.56
Ahmedabad,2015-10-16,393.0,122.41,98.79,31.2,10.05,26.09,17.72,30.19
Ahmedabad,2015-10-17,671.0,122.41,145.75,34.71,10.05,24.66,20.61,95.94
Ahmedabad,2015-10-18,969.0,122.41,179.43,39.42,10.05,39.15,52.33,112.01
Ahmedabad,2015-10-19,471.0,122.41,170.52,35.22,10.05,34.03,15.49,53.98
Ahmedabad,2015-10-20,529.0,122.41,203.4,36.63,10.05,94.3,23.03,5.36
Ahmedabad,2016-07-04,214.0,122.41,40.23,2.79,10.05,1.69,8.68,15.16
Ahmedabad,2016-07-05,207.0,122.41,54.25,2.78,10.05,1.42,8.11,18.46
Ahmedabad,2016-07-06,169.0,122.41,49.04,1.65,10.05,1.44,7.38,15.33
Ahmedabad,2016-07-20,557.0,122.41,31.71,22.75,10.05,15.47,1.67,41.626153846153855
Ahmedabad,2016-07-21,114.0,122.41,33.48,30.88,10.05,14.26,1.94,35.838461538461544
Ahmedabad,2016-07-22,148.0,122.41,30.8,25.15,10.05,17.02,2.57,30.050769230769234
Ahmedabad,2016-07-23,99.0,122.41,30.47,38.78,10.05,15.8,1.64,24.26307692307693
Ahmedabad,2016-07-24,117.0,122.41,34.64,39.23,10.05,15.07,6.67,18.475384615384627
Ahmedabad,2016-07-25,275.0,122.41,43.71,39.95,10.05,15.37,8.85,12.687692307692316
Ahmedabad,2016-07-26,183.0,122.41,46.52,33.24,10.05,15.0,3.87,6.9
Ahmedabad,2016-07-27,336.0,122.41,36.54,20.32,10.05,16.78,18.76,11.46
Ahmedabad,2016-07-28,468.0,122.41,36.87,23.28,10.05,13.74,26.51,4.91
Ahmedabad,2016-07-29,776.0,122.41,46.19,29.66,10.05,14.31,86.72,4.77
Ahmedabad,2016-07-30,805.0,122.41,48.44,30.66,10.05,15.67,84.21,4.26
Ahmedabad,2016-07-31,705.0,122.41,40.18,28.27,10.05,14.63,72.58,4.33
Ahmedabad,2016-08-01,740.0,122.41,33.5,30.42,10.05,14.95,79.53,4.81
Ahmedabad,2016-08-02,751.0,122.41,29.36,29.75,10.05,15.31,83.72,3.68
Ahmedabad,2016-08-03,798.0,122.41,44.59,29.34,10.05,14.18,89.85,4.91
Ahmedabad,2016-08-04,494.0,122.41,50.65,13.0,10.05,13.06,10.63,6.21
Ahmedabad,2016-08-05,234.0,122.41,33.93,13.41,10.05,19.54,5.06,6.16
Ahmedabad,2016-08-14,240.0,122.41,85.1,12.91,10.05,14.51,8.14,12.45
Ahmedabad,2016-08-15,220.0,122.41,55.55,13.45,10.05,16.6,8.38,11.84
Ahmedabad,2016-08-16,460.0,122.41,170.22,17.88,10.05,14.21,15.47,10.05
Ahmedabad,2016-08-17,341.0,122.41,35.05,16.07,10.05,16.13,7.66,9.81
Ahmedabad,2016-08-18,216.0,122.41,37.68,9.49,10.05,16.15,6.39,13.7
Ahmedabad,2016-08-19,174.0,122.41,32.78,12.1,10.05,12.29,6.08,13.13
Ahmedabad,2016-08-20,252.0,122.41,53.5,14.19,10.05,16.32,12.0,5.48
Ahmedabad,2016-08-21,283.0,122.41,48.24,15.52,10.05,16.16,10.91,5.98
Ahmedabad,2016-08-22,282.0,122.41,63.27,13.23,10.05,24.81,8.82,8.68
Ahmedabad,2016-08-23,189.0,122.41,40.43,10.29,10.05,12.24,7.42,5.0
Ahmedabad,2016-08-24,204.0,122.41,31.15,9.94,10.05,21.48,8.91,12.97
Ahmedabad,2016-08-25,207.0,122.41,33.76,12.22,10.05,17.68,9.15,8.36
Ahmedabad,2016-08-26,218.0,122.41,35.95,9.75,10.05,16.66,10.05,8.61
Ahmedabad,2016-08-27,243.0,122.41,58.07,8.67,10.05,21.2,10.51,19.87
Ahmedabad,2016-08-28,219.0,122.41,46.04,8.75,10.05,17.27,9.72,10.35
Ahmedabad,2016-08-29,247.0,122.41,52.27,9.23,10.05,19.62,10.79,9.14
Ahmedabad,2016-08-30,235.0,122.41,46.68,9.3,10.05,17.77,10.08,15.97
Ahmedabad,2016-08-31,234.0,122.41,44.59,7.39,10.05,17.62,10.47,11.2
Ahmedabad,2016-09-01,217.0,122.41,30.81,7.86,10.05,17.58,9.36,15.72
Ahmedabad,2016-09-02,222.0,122.41,47.67,8.39,10.05,16.95,9.63,18.89
Ahmedabad,2016-09-03,241.0,122.41,35.69,8.14,10.05,16.72,9.38,14.63
Ahmedabad,2016-09-04,225.0,122.41,36.44,7.07,10.05,17.76,9.59,14.99
Ahmedabad,2016-09-05,241.0,122.41,33.83,7.82,10.05,17.93,10.14,13.9
Ahmedabad,2016-09-06,237.0,122.41,34.23,7.14,10.05,18.76,10.17,13.79
Ahmedabad,2016-09-07,251.0,122.41,52.15,7.15,10.05,16.32,10.7,14.67
Ahmedabad,2016-09-08,220.0,122.41,35.99,8.65,10.05,19.29,9.91,18.16
Ahmedabad,2016-09-09,221.0,122.41,37.93,9.2,10.05,19.07,9.75,15.42
Ahmedabad,2016-09-10,226.0,122.41,31.94,7.84,10.05,16.87,9.5,14.27
Ahmedabad,2016-09-11,208.0,122.41,18.04,7.02,10.05,15.49,7.3,19.0
Ahmedabad,2016-09-12,190.0,122.41,27.9,9.55,10.05,14.48,9.52,21.74
Ahmedabad,2016-09-13,250.0,122.41,36.51,10.68,10.05,18.22,10.07,22.56
Ahmedabad,2016-09-14,280.0,122.41,55.71,12.86,10.05,17.75,11.17,21.14
Ahmedabad,2016-09-15,306.0,122.41,57.01,11.99,10.05,18.36,13.68,20.81
Ahmedabad,2016-09-16,249.0,122.41,53.94,12.54,10.05,18.85,10.01,24.79
Ahmedabad,2016-09-17,213.0,122.41,49.34,8.67,10.05,15.82,9.75,26.39
Ahmedabad,2016-09-18,135.0,122.41,47.56,8.9375,10.05,15.455,9.855,23.5025
Ahmedabad,2016-09-28,216.0,122.41,38.47,5.7,10.05,17.44,10.63,17.34
Ahmedabad,2016-09-29,236.0,122.41,42.55,6.59,10.05,17.85,10.36,20.24
Ahmedabad,2016-09-30,225.0,122.41,38.1,7.04,10.05,18.46,10.2,16.83
Ahmedabad,2016-10-01,231.0,122.41,27.22,6.34,10.05,17.38,12.02,12.94
Ahmedabad,2016-10-02,298.0,122.41,41.81,9.77,10.05,18.03,10.75,22.44
Ahmedabad,2016-10-03,267.0,122.41,75.03,9.47,10.05,17.61,11.23,41.28
Ahmedabad,2016-10-04,236.0,122.41,52.755,8.45,10.05,18.2,13.86,23.830000000000002
Ahmedabad,2016-10-12,227.0,122.41,42.25,6.55,10.05,9.61,11.07,24.3
Ahmedabad,2016-10-13,236.0,122.41,48.23,9.01,10.05,18.51,11.09,18.52
Ahmedabad,2016-10-14,326.0,122.41,138.94,16.9,10.05,66.98,10.27,37.01
Ahmedabad,2016-10-15,395.0,122.41,155.68,19.69,10.05,61.24,16.66,33.7
Ahmedabad,2016-10-16,507.0,122.41,120.35,16.95,10.05,49.8,20.67,29.53
Ahmedabad,2016-10-17,423.0,122.41,140.81,19.3,10.05,15.83,18.56,31.21
Ahmedabad,2016-10-18,315.0,122.41,87.09,13.98,10.05,18.17,10.15,29.43
Ahmedabad,2016-10-19,213.0,122.41,83.57,10.61,10.05,19.72,7.8,30.68
Ahmedabad,2016-10-20,263.0,122.41,75.41,11.07,10.05,26.31,12.23,37.64
Ahmedabad,2016-10-21,355.0,122.41,106.86,10.22,10.05,30.72,9.38,36.65
Ahmedabad,2016-10-22,362.0,122.41,96.53,10.8,10.05,26.45,9.03,33.14
Ahmedabad,2016-10-23,236.0,122.41,76.96,9.04,10.05,28.44,6.95,41.7
Ahmedabad,2016-10-24,192.0,122.41,73.05,8.37,10.05,40.0,7.04,40.57
Ahmedabad,2016-10-25,230.0,122.41,72.52,9.14,10.05,28.08,7.31,32.65
Ahmedabad,2016-10-26,278.0,122.41,109.22,13.21,10.05,60.04,11.05,33.06
Ahmedabad,2016-10-27,390.0,122.41,122.63,16.36,10.05,24.52,18.84,31.59
Ahmedabad,2016-10-28,509.0,122.41,214.36,18.38,10.05,46.6,19.66,33.34
Ahmedabad,2016-10-29,472.0,122.41,381.69,25.41,10.05,49.33,29.49,15.74
Ahmedabad,2016-10-30,457.0,122.41,182.59,18.2,10.05,23.81,26.06,41.0
Ahmedabad,2016-10-31,721.0,122.41,271.85,15.28,10.05,33.31,16.39,41.24
Ahmedabad,2016-11-01,420.0,122.41,230.76,13.35,10.05,19.34,12.95,50.18
Ahmedabad,2016-11-02,417.0,122.41,203.3,14.79,10.05,16.14,11.74,47.43
Ahmedabad,2016-11-03,390.0,122.41,152.03,12.7,10.05,16.78,10.97,56.43
Ahmedabad,2016-11-04,361.0,122.41,176.02,12.78,10.05,66.19,7.51,35.0
Ahmedabad,2017-10-27,1348.0,122.41,133.07,51.06,10.05,61.91,70.84,32.46
Ahmedabad,2017-10-28,1073.0,122.41,93.96,46.94,10.05,47.05,71.28,6.36
Ahmedabad,2017-10-29,952.0,122.41,93.7,53.13,10.05,47.28,55.17,21.54
Ahmedabad,2017-11-09,850.0,122.41,89.0,119.82,10.05,131.99,38.8,42.9
Ahmedabad,2017-11-10,669.0,122.41,85.35,105.07,10.05,111.22,48.64,62.31
Ahmedabad,2017-11-11,1141.0,122.41,101.25,106.82,10.05,113.03,51.7,58.29
Ahmedabad,2017-11-12,707.0,122.41,90.02,99.02,10.05,130.27,47.15,67.89
Ahmedabad,2017-11-13,1577.0,122.41,119.17,98.11,10.05,110.08,98.33,48.07
Ahmedabad,2017-11-14,1747.0,122.41,207.19,146.18,10.05,160.06,118.02,37.21
Ahmedabad,2017-11-15,1065.0,122.41,148.83,29.79,10.05,113.64,45.88,36.02
Ahmedabad,2017-11-16,195.0,122.41,85.32,31.48,10.05,124.92,5.06,28.71
Ahmedabad,2017-11-17,291.0,122.41,143.07,73.39,10.05,132.05,5.85,42.6
Ahmedabad,2017-11-18,313.0,122.41,140.88,76.05,10.05,130.2,6.11,26.06
Ahmedabad,2017-11-19,333.0,122.41,99.77,73.33,10.05,99.05,10.23,37.6
Ahmedabad,2017-11-20,338.0,122.41,119.99,73.41,10.05,81.21,6.84,48.09
Ahmedabad,2017-11-21,371.0,122.41,111.92,81.11,10.05,112.56,15.17,62.34
Ahmedabad,2017-11-22,463.0,122.41,96.51,84.06,10.05,102.74,15.07,74.34
Ahmedabad,2017-11-23,419.0,122.41,80.52,88.07,10.05,118.4,24.0,55.49
Ahmedabad,2017-11-24,700.0,122.41,92.8,102.15,10.05,143.12,45.76,55.83
Ahmedabad,2017-11-25,1043.0,122.41,102.26,111.94,10.05,140.1,37.88,45.65
Ahmedabad,2017-11-26,1029.0,122.41,108.19,109.21,10.05,117.82,55.69,47.4
Ahmedabad,2017-11-27,1041.0,122.41,93.87,102.93,10.05,122.74,69.71,43.8
Ahmedabad,2017-11-28,1430.0,122.41,109.53,117.71,10.05,123.22,55.08,43.0
Ahmedabad,2017-11-29,765.0,122.41,79.34,106.33,10.05,113.88,14.63,54.62
Ahmedabad,2017-11-30,599.0,122.41,93.05,94.66,10.05,104.74,40.22,60.03
